G,PG,PG-13,R
,112692062,56684819,58918501
,82300000,55350897,83287363
,63939454,39442871,60962878
,59699513,37899638,76261036
,52277485,37754208,71277420
,49474048,38542418,70001065
,76600000,34566746,66790248
,37617947,32885565,31598308
,22913677,21471685,53854588
,17596256,19673424,47307550
,11631245,19480739,22877808
,10137502,27356090,20400913
,6448817,17473245,19719930
,32000000,170708996,13560960
,309125409,67286731,11146409
,173381405,127083765,7916887
,104632573,15071514,15279680
,32701088,66462600,4584886
,4357000,306124059,2154540
,82528097,229074524,136019448
,87100000,157299717,53300852
,11854694,120776832,150415432
,115648585,117698894,44834712
,122012643,162001186,1500000
,105444419,77032279,62318875
,85416609,68473360,24430272
,58715510,103338338,158348400
,55210049,55808744,29113588
,51432423,47000485,138447667
,49186871,45434443,70100000
,53021560,42044321,159578352
,44328238,41523271,59992760
,53337608,37600435,24375436
,42643187,39251128,24127895
,41407470,30013346,6105175
,28165882,90820,116724075
,16295774,5409517,150117807
,9353573,21009180,116735231
,10134754,94999143,166147885
,179870271,36381716,108706165
,64371181,36976367,125069696
,39514713,70224196,102310175
,43097652,148213377,89138076
,66950483,183132370,90353764
,24268828,32616869,82522790
,8119205,114195633,81292135
,74888996,144156464,72455275
,21500000,227965690,74098862
,7486906,141204016,71347010
,38536376,72660029,66808615
,20819129,116643346,66466372
,110222438,42272747,60923325
,50800000,80281096,54967359
,36985501,83552429,57981889
,23222861,66257002,54414716
,20047715,79883359,50859889
,84185387,78031620,52000688
,78656813,54222000,47034272
,77264926,52474616,59588068
,82234139,55942830,44175394
,51676606,37901509,41797066
,47285499,48430355,37371385
,47124400,30157016,38176892
,39880476,33105600,35183792
,39399750,38509342,38543473
,39008741,18821279,42575718
,36447959,118471320,42615685
,35990505,300523113,30981850
,31655091,29655590,30199105
,16647384,27550735,29374178
,15331289,72980108,25117498
,10769960,87704396,32645
,12495865,83892374,22433915
,109713132,43568507,20300000
,70269171,182805123,14942422
,80000000,182204440,14967182
,32662299,148775460,12081447
,4308981,93771072,10431220
,290158751,115603980,6114237
,11508423,90454043,10640645
,38119483,70236496,876671
,144833357,63695760,463730
,90636983,54758461,50693162
,54235441,213079163,88915214
,49002815,356784000,50668906
,9694105,25052000,24044532
,46700000,122012710,17305211
,42660000,58255287,16991902
,242374454,65000000,47536959
,173585516,32178777,13782838
,128300000,118153533,41997790
,102922376,279167575,6482195
,94497271,168213584,16377274
,82301521,121468960,92173235
,67325559,106126012,60338891
,62933793,93307796,22450975
,42652003,109176215,44867349
,38037513,82670733,46813366
,35422828,81687587,150368971
,25677801,80574010,50129186
,25584685,75764085,50213619
,25077977,90356857,23360779
,20916309,75370763,26183197
,8500000,90341670,2954405
,18252684,74540762,277313371
,13801755,80033643,144731527
,13391174,75638743,117528646
,11784000,88200225,134455175
,6002756,59035104,79100000
,5205343,56702901,78651430
,2000000,53789313,64604977
,2246000,51045801,60054449
,375474,50189179,61280963
,51431160,50549107,55802754
,210609762,56443482,55291815
,12561,46611204,67523385
,5308553,48472213,45802315
,114968774,43060566,41954997
,76400000,43337279,39692139
,52691009,37479778,31598308
,43853424,36965395,33987757
,26400000,40559930,37304950
,22452209,36279230,30691439
,17071230,43119879,30307804
,16702864,35096190,30669413
,8000000,35754555,28687835
,8508843,30695227,25078937
,6000000,26082914,24276500
,5333658,29136626,19389454
,51053787,623279547,19692608
,7017178,30063805,17609982
,37566230,14218868,14998070
,172051787,22451,18317151
,44469602,31165421,11405825
,2694071,25472967,10268846
,2000000,22362500,10499968
,42700000,19781879,7659747
,95860116,48291624,7948159
,40363530,31199215,4496583
,33357476,29580087,630779
,14792779,44665963,10214013
,508867,49875589,11227940
,285761243,51317350,183125
,167780960,28328132,10654581
,177200000,51774002,141340178
,176781728,45860039,51758599
,111936400,329691196,28927720
,79900000,166225040,33682273
,64001297,128769345,17120019
,73326666,177575142,8406264
,50003300,107100855,34180954
,47811275,98711404,17225675
,42672630,93815117,169076745
,30857814,162586036,101470202
,30127963,89706988,50041732
,32645546,66365290,48814909
,20998709,58422650,21784432
,19158074,56932305,36733909
,10763469,25040293,35063732
,10411980,33828318,31493782
,8080116,20550712,16640210
,70906973,25857987,13763130
,68856263,12870569,2899970
,34793160,39440655,1304837
,47811275,69951824,78800000
,1752214,26838389,17797316
,61693523,75604320,93749203
,60008303,57386369,59073773
,27141959,45207112,58879132
,26539321,5755286,72077000
,38916903,164435221,145096820
,10996440,118683135,121248145
,260000000,143704210,100125340
,78900000,110476776,90135191
,79568000,80270227,106694016
,25240988,23020488,74787599
,18595716,296623634,66528842
,17292381,62453315,83813460
,21520719,165500000,65010106
,4922166,147637474,66468315
,860002,135014968,62877175
,177343675,2175312,74484168
,91443253,126203320,52937130
,148170000,126975169,45645204
,460935665,105807520,46875468
,41227069,97680195,52418902
,4884663,126088877,39568996
,76600000,91030827,42043633
,434949459,150315155,38413606
,50752337,81022333,38122105
,40485039,79948113,35266619
,29500000,88658172,32154410
,16247775,75888270,26525834
,28873374,84244877,23209440
,13684949,75605492,24048000
,8070311,60470220,30523568
,6491350,55092830,23070045
,4356743,48745150,28644770
,800000,44737059,19976073
,126247,47553512,18967571
,6126237,41482207,17100000
,3420871,37486138,32357532
,11860839,35168395,16930884
,883887,32741596,18324242
,80000000,26616999,15709385
,90800000,19118247,18298649
,69800000,18472363,11900000
,36500000,21283440,12026670
,18811135,10556196,19316646
,16699684,9528092,26830000
,10106233,19445217,10880926
,106593296,28837115,3752725
,3347439,6471394,3904982
,34099640,43905746,537580
,31501218,197171806,18593156
,25000000,50173190,63034755
,4720371,47095453,4554569
,2148212,37879996,6301131
,24103594,60154431,161029270
,24004159,29781453,74058698
,13235267,126805112,55845943
,399611,93607673,81350242
,531806,92001027,70235322
,159600000,10539414,7443007
,241437427,181395380,58885635
,12200000,110000082,52353636
,9628751,106807667,51475962
,124720,100768056,33000377
,10429707,92115211,27000000
,34964818,93452056,31600000
,39200000,67253092,28563179
,83400000,65557989,16779636
,24629916,60786269,8434601
,15369573,46280507,6998324
,7888703,38360195,28751715
,2848578,46815748,148734225
,252726,32003620,9664316
,334185206,27400000,60491560
,201148159,24343673,54200000
,86300000,20101861,31768374
,33349949,19377727,13248477
,25809813,15527125,8712564
,565592,7262288,41008532
,977600,183875760,4485485
,2507106,67061228,4476235
,119841,5773519,1089365
,609042,51768623,109243478
,2850263,37035515,100241322
,117235247,31136950,25977365
,20773070,87856565,87341380
,23808111,41543207,58328680
,4417124,41252428,61490000
,1677838,35228696,46455802
